# 气象站 北京, 中国, WMO_ID=54511，选择从 01.01.2022 至 21.07.2022, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=54511&lang=cn
#
"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.06.2022 05:00";"16.6";"749.9";"752.8";"0.4";"100";"从东北偏东方向吹来的风";"2";"";"12";"";"薄雾 ";"";"";"16.6";"27.1";"";"";"100-200";"";"";"4.3";"16.6";"22.0";"12";"";"";"";"";
"13.06.2022 02:00";"17.5";"749.5";"752.5";"-0.3";"100";"从东北偏北方向吹来的风";"1";"";"12";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.5";"27.1";"";"";"300-600";"";"";"4.0";"17.5";"22.0";"12";"";"";"";"";
"12.06.2022 23:00";"18.4";"749.8";"752.8";"1.2";"100";"从东南偏东方向吹来的风";"3";"";"12";"";"间歇性雨，不冻，在观测时较强 ";"";"";"18.2";"27.1";"";"";"100-200";"";"";"3.0";"18.4";"20.0";"12";"";"";"";"";
"12.06.2022 20:00";"25.6";"748.6";"751.5";"-0.1";"70";"从东南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.8";"27.1";"";"";"1000-1500";"";"";"8.0";"19.7";"无降水";"12";"";"";"";"";
"12.06.2022 17:00";"26.5";"748.7";"751.6";"-1.4";"61";"从西南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.8";"26.9";"";"";"1000-1500";"";"";"11.0";"18.4";"无降水";"12";"";"";"";"";
"12.06.2022 14:00";"25.7";"750.1";"753.1";"-1.7";"68";"从西南偏南方向吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.8";"26.5";"";"";"600-1000";"";"";"10.0";"19.4";"无降水";"12";"";"";"";"";
"12.06.2022 11:00";"21.8";"751.8";"754.8";"-0.4";"95";"从东南偏南方向吹来的风";"2";"";"6";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.8";"";"";"";"300-600";"";"";"4.7";"21.0";"0.3";"12";"";"";"";"";
"12.06.2022 08:00";"19.8";"752.2";"755.2";"0.1";"100";"从东南偏南方向吹来的风";"2";"";"";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.8";"26.9";"";"";"200-300";"";"";"3.6";"19.8";"15.0";"12";"";"";"";"";
"12.06.2022 05:00";"18.9";"752.1";"755.1";"-1.0";"100";"从东南偏东方向吹来的风";"1";"";"8";"";"薄雾 ";"";"";"18.8";"26.9";"";"";"100-200";"";"";"3.2";"18.9";"15.0";"12";"";"";"";"";
"12.06.2022 02:00";"19.4";"753.1";"756.1";"-0.9";"100";"从东南偏东方向吹来的风";"2";"";"8";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.9";"26.9";"";"";"200-300";"";"";"2.9";"19.4";"17.0";"12";"";"";"";"";
"11.06.2022 23:00";"19.4";"754.0";"757.0";"0.7";"100";"从东南偏东方向吹来的风";"2";"";"8";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"18.9";"26.9";"";"";"600-1000";"";"";"2.5";"19.4";"16.0";"12";"";"";"";"";
"11.06.2022 20:00";"23.5";"753.3";"756.3";"1.1";"72";"从东方吹来的风";"2";"";"7";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.5";"26.9";"";"";"2500或更高，或无云。";"";"";"12.0";"18.2";"2.0";"12";"";"";"";"";
"11.06.2022 17:00";"25.1";"752.2";"755.2";"-1.4";"66";"从东方吹来的风";"4";"";"7";"";"小雨（不冻） ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.5";"26.9";"";"";"1000-1500";"";"";"13.0";"18.3";"2.0";"12";"";"";"";"";
"11.06.2022 14:00";"26.5";"753.6";"756.5";"-2.0";"62";"从东南偏东方向吹来的风";"2";"";"";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.5";"28.4";"";"";"600-1000";"";"";"5.0";"18.6";"无降水";"12";"";"";"";"";
"11.06.2022 11:00";"23.8";"755.6";"758.6";"-0.1";"76";"从东方吹来的风";"1";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.5";"28.4";"";"";"600-1000";"";"";"4.3";"19.3";"5.0";"12";"";"";"";"";
"11.06.2022 08:00";"21.5";"755.7";"758.7";"0.6";"89";"从东南偏东方向吹来的风";"2";"";"9";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.5";"28.4";"";"";"2500或更高，或无云。";"";"";"4.5";"19.6";"8.0";"12";"";"";"";"";
"11.06.2022 05:00";"19.5";"755.1";"758.1";"0.2";"100";"从东方吹来的风";"3";"";"9";"";"薄雾 ";"";"";"19.0";"28.4";"";"";"2500或更高，或无云。";"";"";"3.1";"19.5";"8.0";"12";"";"";"";"";
"11.06.2022 02:00";"20.1";"754.9";"757.9";"0.0";"100";"从北方吹来的风";"1";"";"9";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"28.4";"";"";"1500-2000";"";"";"3.3";"20.1";"7.0";"12";"";"";"";"";
"10.06.2022 23:00";"21.8";"754.9";"757.9";"0.4";"89";"从东南偏东方向吹来的风";"3";"";"9";"";"间歇性雨，不冻，在观测时较强 ";"";"";"19.0";"28.4";"";"";"50-100";"";"";"2.9";"19.9";"3.0";"12";"";"";"";"";
"10.06.2022 20:00";"25.4";"754.5";"757.4";"1.8";"69";"从东南偏东方向吹来的风";"2";"";"";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"28.4";"";"";"1000-1500";"";"";"4.6";"19.3";"无降水";"12";"";"";"";"";
"10.06.2022 17:00";"26.9";"752.7";"755.6";"-1.0";"57";"从东南偏南方向吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"28.4";"";"";"1000-1500";"";"";"6.0";"17.7";"无降水";"12";"";"";"";"";
"10.06.2022 14:00";"27.6";"753.7";"756.7";"";"48";"从东方吹来的风";"2";"";"6";"";" ";"";"";"19.0";"27.9";"";"";"1000-1500";"";"";"10.0";"15.6";"无降水";"6";"";"";"";"";
"10.06.2022 11:00";"26.4";"754.1";"757.0";"0.6";"47";"从东南偏东方向吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"26.7";"";"";"2500或更高，或无云。";"";"";"11.0";"14.2";"无降水";"12";"";"";"";"";
"10.06.2022 08:00";"22.1";"753.5";"756.5";"0.0";"62";"从东北方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.2";"25.1";"";"";"2500或更高，或无云。";"";"";"8.0";"14.5";"无降水";"12";"";"";"";"";
"10.06.2022 05:00";"19.1";"753.5";"756.5";"0.4";"82";"从东北偏东方向吹来的风";"2";"";"5";"";"霾 ";"";"";"17.4";"25.1";"";"";"2500或更高，或无云。";"";"";"5.0";"16.0";"无降水";"12";"";"";"";"";
"10.06.2022 02:00";"20.4";"753.1";"756.1";"0.0";"85";"从东北偏东方向吹来的风";"1";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"25.1";"";"";"2500或更高，或无云。";"";"";"5.0";"17.8";"无降水";"12";"";"";"";"";
"09.06.2022 23:00";"21.9";"753.1";"756.1";"0.7";"74";"从东南偏东方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"17.3";"25.1";"";"";"2500或更高，或无云。";"";"";"7.0";"17.1";"无降水";"12";"";"";"";"";
"09.06.2022 20:00";"23.6";"752.4";"755.4";"1.0";"54";"从东南偏东方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"25.1";"";"";"1500-2000";"";"";"16.0";"13.8";"无降水";"12";"";"";"";"";
"09.06.2022 17:00";"24.9";"751.4";"754.4";"-1.7";"49";"从南方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"25.1";"";"";"1000-1500";"";"";"11.0";"13.5";"无降水";"12";"";"";"";"";
"09.06.2022 14:00";"24.3";"753.1";"756.1";"-1.5";"50";"从西南偏西方向吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"24.4";"";"";"1000-1500";"";"";"10.0";"13.2";"无降水";"12";"";"";"";"";
"09.06.2022 11:00";"22.0";"754.6";"757.6";"-1.0";"57";"从东方吹来的风";"1";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"24.5";"";"";"600-1000";"";"";"9.0";"13.1";"无降水";"12";"";"";"";"";
"09.06.2022 08:00";"18.2";"755.6";"758.6";"0.7";"77";"从东南偏南方向吹来的风";"2";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.3";"24.5";"";"";"300-600";"";"";"5.0";"14.1";"无降水";"12";"";"";"";"";
"09.06.2022 05:00";"17.4";"754.9";"757.9";"-0.2";"81";"从东方吹来的风";"1";"";"6";"";"霾 ";"";"";"17.3";"24.5";"";"";"1000-1500";"";"";"7.0";"14.1";"无降水";"12";"";"";"";"";
"09.06.2022 02:00";"18.3";"755.1";"758.1";"-0.6";"72";"从东北偏东方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.3";"24.5";"";"";"1000-1500";"";"";"7.0";"13.2";"无降水";"12";"";"";"";"";
"08.06.2022 23:00";"19.1";"755.7";"758.7";"1.2";"69";"从东方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"19.0";"24.5";"";"";"1000-1500";"";"";"9.0";"13.3";"无降水";"12";"";"";"";"";
"08.06.2022 20:00";"20.6";"754.5";"757.5";"1.1";"63";"从东方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.2";"24.5";"";"";"2500或更高，或无云。";"";"";"7.0";"13.3";"无降水";"12";"";"";"";"";
"08.06.2022 17:00";"22.7";"753.4";"756.4";"0.4";"54";"从东方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.2";"25.9";"";"";"1000-1500";"";"";"9.0";"12.9";"无降水";"12";"";"";"";"";
"08.06.2022 14:00";"24.0";"753.0";"756.0";"-0.1";"51";"从东方吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.2";"26.6";"";"";"1000-1500";"";"";"14.0";"13.2";"无降水";"12";"";"";"";"";
"08.06.2022 11:00";"23.6";"753.1";"756.1";"-0.3";"50";"从东北偏东方向吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.2";"26.6";"";"";"1000-1500";"";"";"16.0";"12.6";"无降水";"12";"";"";"";"";
"08.06.2022 08:00";"20.7";"753.4";"756.4";"0.3";"57";"从东北偏东方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.2";"26.6";"";"";"2000-2500";"";"";"15.0";"11.9";"无降水";"12";"";"";"";"";
"08.06.2022 05:00";"19.5";"753.1";"756.1";"-0.1";"59";"从东北偏东方向吹来的风";"2";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"17.0";"26.6";"";"";"2000-2500";"";"";"27.0";"11.3";"无降水";"12";"";"";"";"";
"08.06.2022 02:00";"20.4";"753.2";"756.1";"0.1";"52";"从东南方吹来的风";"1";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"26.6";"";"";"2000-2500";"";"";"29.0";"10.2";"无降水";"12";"";"";"";"";
"07.06.2022 23:00";"22.5";"753.1";"756.1";"1.2";"43";"从东南偏东方向吹来的风";"2";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"17.0";"26.6";"";"";"1500-2000";"";"";"28.0";"9.3";"无降水";"12";"";"";"";"";
"07.06.2022 20:00";"24.0";"751.9";"754.8";"0.3";"40";"从东南方吹来的风";"3";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"26.6";"";"";"1500-2000";"";"";"28.0";"9.6";"无降水";"12";"";"";"";"";
"07.06.2022 17:00";"25.9";"751.6";"754.6";"-0.7";"33";"从东南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"28.2";"";"";"2000-2500";"";"";"30.0";"8.4";"无降水";"12";"";"";"";"";
"07.06.2022 14:00";"26.4";"752.3";"755.2";"-1.6";"33";"从西南偏南方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"28.4";"";"";"2000-2500";"";"";"30.0";"8.8";"无降水";"12";"";"";"";"";
"07.06.2022 11:00";"23.5";"753.9";"756.9";"-0.7";"35";"从西南偏南方向吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"28.4";"";"";"1500-2000";"";"";"30.0";"7.2";"无降水";"12";"";"";"";"";
"07.06.2022 08:00";"21.4";"754.6";"757.6";"0.0";"41";"从东南偏南方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.0";"28.4";"";"";"1500-2000";"";"";"30.0";"7.6";"无降水";"12";"";"";"";"";
"07.06.2022 05:00";"17.9";"754.6";"757.6";"0.3";"56";"从西南偏南方向吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"17.9";"28.4";"";"";"2500或更高，或无云。";"";"";"30.0";"9.0";"无降水";"12";"";"";"";"";
"07.06.2022 02:00";"19.7";"754.3";"757.2";"0.7";"58";"从东南偏东方向吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.7";"28.4";"";"";"2500或更高，或无云。";"";"";"25.0";"11.2";"无降水";"12";"";"";"";"";
"06.06.2022 23:00";"22.4";"753.6";"756.5";"2.1";"40";"从东方吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.5";"28.4";"";"";"2500或更高，或无云。";"";"";"30.0";"8.2";"无降水";"12";"";"";"";"";
"06.06.2022 20:00";"26.1";"751.5";"754.4";"0.9";"20";"从北方吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"28.4";"";"";"2500或更高，或无云。";"";"";"30.0";"1.4";"无降水";"12";"";"";"";"";
"06.06.2022 17:00";"28.0";"750.6";"753.5";"-0.3";"21";"从北方吹来的风";"4";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"3.7";"无降水";"12";"";"";"";"";
"06.06.2022 14:00";"28.0";"750.9";"753.8";"-0.2";"26";"从东北偏北方向吹来的风";"4";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"34.6";"";"";"2000-2500";"";"";"30.0";"6.7";"无降水";"12";"";"";"";"";
"06.06.2022 11:00";"25.8";"751.1";"754.0";"-0.1";"28";"从北方吹来的风";"4";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"";"";"";"2000-2500";"";"";"30.0";"5.9";"无降水";"12";"";"";"";"";
"06.06.2022 08:00";"23.2";"751.2";"754.1";"1.7";"35";"从北方吹来的风";"4";"";"12";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"34.6";"";"";"1500-2000";"";"";"30.0";"6.9";"无降水";"12";"";"";"";"";
"06.06.2022 05:00";"21.7";"749.5";"752.5";"1.0";"40";"从东北方吹来的风";"2";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"19.0";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"7.5";"无降水";"12";"";"";"";"";
"06.06.2022 02:00";"23.4";"748.5";"751.4";"0.5";"36";"从东北偏北方向吹来的风";"3";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"7.5";"无降水";"12";"";"";"";"";
"05.06.2022 23:00";"24.7";"748.0";"750.9";"1.6";"31";"从东北偏北方向吹来的风";"4";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"19.0";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"6.5";"无降水";"12";"";"";"";"";
"05.06.2022 20:00";"27.2";"746.4";"749.3";"2.3";"24";"从北方吹来的风";"4";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"4.9";"无降水";"12";"";"";"";"";
"05.06.2022 17:00";"34.4";"744.1";"747.1";"-1.8";"9";"从西北偏北方向吹来的风";"4";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"-3.0";"无降水";"12";"";"";"";"";
"05.06.2022 14:00";"33.4";"745.9";"748.8";"-2.1";"10";"从西北方吹来的风";"4";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"33.8";"";"";"2500或更高，或无云。";"";"";"30.0";"-2.3";"无降水";"12";"";"";"";"";
"05.06.2022 11:00";"31.3";"748.0";"750.9";"-1.1";"10";"从西北方吹来的风";"6";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"32.3";"";"";"2500或更高，或无云。";"";"";"27.0";"-3.9";"无降水";"12";"";"";"";"";
"05.06.2022 08:00";"27.2";"749.1";"752.0";"-0.1";"38";"从西南方吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.0";"32.3";"";"";"2500或更高，或无云。";"";"";"13.0";"11.7";"无降水";"12";"";"";"";"";
"05.06.2022 05:00";"19.1";"749.2";"752.1";"-0.2";"100";"从西北偏北方向吹来的风";"0";"";"8";"";"薄雾 ";"";"";"19.0";"32.3";"";"";"2500或更高，或无云。";"";"";"2.5";"19.1";"无降水";"12";"";"";"";"";
"05.06.2022 02:00";"21.5";"749.4";"752.3";"0.2";"83";"从东北偏东方向吹来的风";"1";"";"8";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.5";"32.3";"";"";"2500或更高，或无云。";"";"";"4.6";"18.5";"无降水";"12";"";"";"";"";
"04.06.2022 23:00";"22.1";"749.2";"752.1";"2.5";"61";"从东北方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"22.1";"32.3";"";"";"2500或更高，或无云。";"";"";"23.0";"14.2";"无降水";"12";"";"";"";"";
"04.06.2022 20:00";"29.2";"746.7";"749.6";"0.5";"50";"从南方吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.3";"32.3";"";"";"2500或更高，或无云。";"";"";"15.0";"17.7";"";"";"";"";"";"";
"04.06.2022 17:00";"31.6";"746.2";"749.1";"-1.5";"41";"从南方吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.3";"34.5";"";"";"2500或更高，或无云。";"";"";"20.0";"16.7";"0.3";"12";"";"";"";"";
"04.06.2022 14:00";"31.6";"747.7";"750.6";"-1.2";"38";"从东南方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.3";"35.4";"";"";"1500-2000";"";"";"23.0";"15.6";"0.3";"12";"";"";"";"";
"04.06.2022 11:00";"26.1";"748.9";"751.8";"-0.6";"60";"从北方吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.3";"";"";"";"2500或更高，或无云。";"";"";"17.0";"17.7";"0.3";"12";"";"";"";"";
"04.06.2022 08:00";"24.3";"749.5";"752.4";"0.6";"65";"从东北偏北方向吹来的风";"2";"";"7";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.3";"35.4";"";"";"2500或更高，或无云。";"";"";"17.0";"17.3";"无降水";"12";"";"";"";"";
"04.06.2022 05:00";"25.7";"748.9";"751.7";"0.6";"54";"从东北偏北方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.2";"35.4";"";"";"2500或更高，或无云。";"";"";"25.0";"15.7";"无降水";"12";"";"";"";"";
"04.06.2022 02:00";"26.7";"748.3";"751.2";"-0.1";"51";"从北方吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.4";"";"";"2500或更高，或无云。";"";"";"25.0";"15.7";"无降水";"12";"";"";"";"";
"03.06.2022 23:00";"28.3";"748.4";"751.3";"0.9";"43";"从东北偏北方向吹来的风";"2";"";"8";"";"小雨（不冻） ";"";"";"21.2";"35.4";"";"";"1500-2000";"";"";"23.0";"14.5";"无降水";"12";"";"";"";"";
"03.06.2022 20:00";"30.9";"747.5";"750.4";"1.2";"56";"从东北偏东方向吹来的风";"1";"";"8";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.4";"";"";"2500或更高，或无云。";"";"";"5.0";"21.1";"无降水";"12";"";"";"";"";
"03.06.2022 17:00";"34.5";"746.3";"749.2";"-1.0";"29";"从西南偏南方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.4";"";"";"2500或更高，或无云。";"";"";"16.0";"13.9";"无降水";"12";"";"";"";"";
"03.06.2022 14:00";"33.3";"747.3";"750.1";"-1.2";"34";"从西南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.8";"";"";"2500或更高，或无云。";"";"";"15.0";"15.3";"无降水";"12";"";"";"";"";
"03.06.2022 11:00";"28.2";"748.5";"751.4";"-1.1";"47";"从西南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.8";"";"";"2500或更高，或无云。";"";"";"10.0";"15.8";"无降水";"12";"";"";"";"";
"03.06.2022 08:00";"24.5";"749.6";"752.5";"0.4";"49";"从东方吹来的风";"1";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.2";"35.8";"";"";"2500或更高，或无云。";"";"";"10.0";"13.1";"无降水";"12";"";"";"";"";
"03.06.2022 05:00";"21.4";"749.2";"752.1";"0.3";"58";"从东北方吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"16.6";"35.8";"";"";"2500或更高，或无云。";"";"";"12.0";"12.8";"无降水";"12";"";"";"";"";
"03.06.2022 02:00";"23.2";"748.9";"751.8";"0.1";"51";"从东北偏东方向吹来的风";"1";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"16.6";"35.8";"";"";"2500或更高，或无云。";"";"";"15.0";"12.5";"无降水";"12";"";"";"";"";
"02.06.2022 23:00";"27.2";"748.8";"751.6";"0.8";"40";"从东南偏南方向吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"";"35.8";"";"";"2500或更高，或无云。";"";"";"23.0";"12.4";"无降水";"12";"";"";"";"";
